id,contact.name,contact.email,account.balance,charges
cm1fwa,Tally Dorice,TallyDorice289@email.com,13.71,"[{""id"":""z992i2"",""amount"":622.17,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
djim81,Lorne Shaylynn,LorneShaylynn274@email.com,221.62,"[{""id"":""7cv0is"",""amount"":255.9,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
lkvkbl,Alix Mildred,AlixMildred405@email.com,43.15,"[{""id"":""o0gnk3"",""amount"":449.99,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
60wkem,Jessi Kendra,JessiKendra251@email.com,41.94,"[{""id"":""3cbfak"",""amount"":389.31,""datetime"":""2020-11-25T00:00:00.000Z"",""status"":""New""}]"
6djfs9,Blondy Annmaria,BlondyAnnmaria149@email.com,5.54,"[{""id"":""dvdyte"",""amount"":559.13,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
pxuwai,Chelsea Dorisa,ChelseaDorisa233@email.com,2.36,"[{""id"":""v2ojpj"",""amount"":518.12,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
u2kbdv,Faustine Pavia,FaustinePavia355@email.com,223.4,"[{""id"":""9xecru"",""amount"":487.5,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
u4pqjn,Vinita Wylma,VinitaWylma96@email.com,414.85,"[{""id"":""73xpil"",""amount"":625,""datetime"":""2020-11-25T00:00:00.000Z"",""status"":""New""}]"
xy712f,Britni Othilie,BritniOthilie292@email.com,7.19,"[{""id"":""cj2o45"",""amount"":221.94,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
cnxc2x,Dorolice Millie,DoroliceMillie159@email.com,869.32,"[{""id"":""y8e3dc"",""amount"":414.68,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
ak7uxe,Mariya Van,MariyaVan415@email.com,682.67,"[{""id"":""kmdkfl"",""amount"":173.75,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
j9oia1,Michaeline Glad,MichaelineGlad318@email.com,66.55,"[{""id"":""be10i2"",""amount"":575,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
c546g1,Eve Eden,EveEden73@email.com,633.96,"[{""id"":""1vlxyh"",""amount"":875,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
d03wws,Libby Johnath,LibbyJohnath126@email.com,690.83,"[{""id"":""0on2dz"",""amount"":501.49,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
bz4b0v,Tobey Barbaraanne,TobeyBarbaraanne401@email.com,9.44,"[{""id"":""pirxso"",""amount"":276.54,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
kk3q2q,Drona Winni,DronaWinni327@email.com,1353,"[{""id"":""tp1d0i"",""amount"":626.88,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
xdyhzd,Cherlyn Joly,CherlynJoly332@email.com,56.51,"[{""id"":""2xqu2t"",""amount"":539.44,""datetime"":""2020-11-25T00:00:00.000Z"",""status"":""New""}]"
x665d2,Georgia Kristin,GeorgiaKristin238@email.com,82.4,"[{""id"":""7veg03"",""amount"":556.62,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
5o0i0u,Elbertina Lynnelle,ElbertinaLynnelle412@email.com,169.94,"[{""id"":""fmq6h5"",""amount"":565.02,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
qyzcx0,Janetta Vally,JanettaVally141@email.com,513.29,"[{""id"":""g8jpnf"",""amount"":369.63,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
ta41vu,Filide Mame,FilideMame88@email.com,5495.96,"[{""id"":""jo1mzt"",""amount"":577.13,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
hmufyh,Maren Elfrida,MarenElfrida113@email.com,460.12,"[{""id"":""2kaf2g"",""amount"":248.55,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
mqheal,Jackquelin Judith,JackquelinJudith226@email.com,606.75,"[{""id"":""ic883e"",""amount"":249.9,""datetime"":""2020-11-25T00:00:00.000Z"",""status"":""New""}]"
46355g,Florella Guillema,FlorellaGuillema229@email.com,125.26,"[{""id"":""05fur3"",""amount"":669.6,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
v75qu4,Agace Anatola,AgaceAnatola395@email.com,199.93,"[{""id"":""44sl9t"",""amount"":199.5,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
oatxh6,Dolly Glenna,DollyGlenna307@email.com,3857.98,"[{""id"":""oarwvi"",""amount"":783.22,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
vu2bz6,Tana Domini,TanaDomini106@email.com,820.82,"[{""id"":""xzqiob"",""amount"":601.09,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
scs5bf,Nessa Ginni,NessaGinni118@email.com,283.76,"[{""id"":""w4e2k0"",""amount"":293.72,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
0qo2eb,Belicia Daryl,BeliciaDaryl126@email.com,420.13,"[{""id"":""4lj8nt"",""amount"":441.45,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
a0tgnl,Lilia Berta,LiliaBerta129@email.com,-94.06,"[{""id"":""564prl"",""amount"":501.79,""datetime"":""2020-11-25T00:00:00.000Z"",""status"":""New""}]"
rrzubz,Jacintha Leigha,JacinthaLeigha305@email.com,460.18,"[{""id"":""ah5szf"",""amount"":251.29,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
stgwmi,Valentia Olenka,ValentiaOlenka172@email.com,4.91,"[{""id"":""nca6do"",""amount"":785.93,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
a87pmh,Sharai Roanna,SharaiRoanna238@email.com,2.32,"[{""id"":""ypbif2"",""amount"":459.99,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
nj7lrk,Leeann Catherine,LeeannCatherine216@email.com,3330.9,"[{""id"":""hnqvqc"",""amount"":200.02,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
bkly4y,Leesa Emlyn,LeesaEmlyn311@email.com,665.3,"[{""id"":""lqy9ol"",""amount"":453.22,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
c3ls8v,Joleen Cassondra,JoleenCassondra231@email.com,1958.96,"[{""id"":""bbvuz3"",""amount"":737.64,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
3i9y1g,Alleen Jandy,AlleenJandy218@email.com,46.83,"[{""id"":""ujcpn6"",""amount"":236.11,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
bshyff,Cayla Trisha,CaylaTrisha184@email.com,525.31,"[{""id"":""fhk2p5"",""amount"":645.88,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
883fkz,Amata Catie,AmataCatie108@email.com,321.41,"[{""id"":""xgglg5"",""amount"":797.25,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
2loo50,Nyssa Rona,NyssaRona391@email.com,8.85,"[{""id"":""0bhb95"",""amount"":747.45,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
kz0zue,Corrina Rochelle,CorrinaRochelle332@email.com,112.84,"[{""id"":""xdbu21"",""amount"":728.84,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
3mi9b2,Minni Miguela,MinniMiguela78@email.com,-71.89,"[{""id"":""uh158z"",""amount"":427.68,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
19g6rz,Lilia Willamina,LiliaWillamina206@email.com,59.68,"[{""id"":""7xlhb5"",""amount"":802.75,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
vcws50,Lucina Berta,LucinaBerta369@email.com,18.19,"[{""id"":""ps0ltr"",""amount"":566.25,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
vr9ys5,Debbie Harriott,DebbieHarriott107@email.com,0.61,"[{""id"":""3cf7yd"",""amount"":564.01,""datetime"":""2020-11-20T00:00:00.000Z"",""status"":""New""},{""id"":""eqp6wf"",""amount"":564.02,""datetime"":""2020-11-25T00:00:00.000Z"",""status"":""New""}]"
xzmzh3,Elisa Catarina,ElisaCatarina293@email.com,1285.42,"[{""id"":""9n6bsa"",""amount"":751.99,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
edjdgb,Gwenneth Kyla,GwennethKyla317@email.com,232.84,"[{""id"":""u63ilx"",""amount"":621.38,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
lybf2o,Alethea Koo,AletheaKoo148@email.com,35.55,"[{""id"":""xzqzb1"",""amount"":633.5,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
y0qhek,Roxy Ki,RoxyKi283@email.com,21.61,"[{""id"":""5n3v3p"",""amount"":709.35,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
ihbgin,Kerstin Ellissa,KerstinEllissa316@email.com,-490.66,"[{""id"":""5oaq6n"",""amount"":492.77,""datetime"":""2020-11-19T00:00:00.000Z"",""status"":""New""}]"
4ujdda,Atlanta Jessy,AtlantaJessy340@email.com,703.01,"[{""id"":""kmh9an"",""amount"":460.04,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
kvo1e4,Verine Guinna,VerineGuinna321@email.com,-78.9,"[{""id"":""04gex5"",""amount"":585.22,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
862vy9,Laraine Therine,LaraineTherine272@email.com,443.17,"[{""id"":""w0vnb2"",""amount"":800.04,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
ujvbld,Eveleen Roberta,EveleenRoberta74@email.com,126.87,"[{""id"":""vpveap"",""amount"":518.13,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
ftzipo,Kaycee Stacee,KayceeStacee278@email.com,75.2,"[{""id"":""t9t0dp"",""amount"":633,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
wc0ev1,Morganne Consuela,MorganneConsuela315@email.com,283.43,"[{""id"":""7ttjvy"",""amount"":219.78,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
xxlko6,Harlene Bab,HarleneBab224@email.com,37.34,"[{""id"":""30t4nn"",""amount"":554.43,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
jchl26,Sisile Rosella,SisileRosella202@email.com,-27.79,"[{""id"":""9jaxq5"",""amount"":298.31,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
8thgjj,Coretta Anatola,CorettaAnatola160@email.com,678.07,"[{""id"":""ufhev1"",""amount"":603.5,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
xc4s5c,Kiley Chastity,KileyChastity115@email.com,153.47,"[{""id"":""25t581"",""amount"":150.32,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
z1uua2,Martynne Trisha,MartynneTrisha386@email.com,-620.68,"[{""id"":""yzwwj7"",""amount"":237.21,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
oykit6,Lilith Delia,LilithDelia226@email.com,480.08,"[{""id"":""knhi1w"",""amount"":471.51,""datetime"":""2020-11-18T00:00:00.000Z"",""status"":""New""}]"
yh7e89,Jobyna Sayre,JobynaSayre170@email.com,958.37,"[{""id"":""oxkmmy"",""amount"":406.6,""datetime"":""2020-11-30T00:00:00.000Z"",""status"":""New""}]"
l81c3i,Carmencita Veda,CarmencitaVeda208@email.com,312.1,"[{""id"":""ca3nvh"",""amount"":625.2,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
ej94om,Aleen Danya,AleenDanya382@email.com,0,"[{""id"":""7k04et"",""amount"":444.38,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
guxuh4,Sydney Dulci,SydneyDulci204@email.com,303.51,"[{""id"":""rcp0y2"",""amount"":705.79,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""},{""id"":""afr5o7"",""amount"":705.8,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
15e94p,Katharine Aime,KatharineAime107@email.com,7.91,"[{""id"":""36xu3l"",""amount"":512.3,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
ps59n7,Marcela Meghan,MarcelaMeghan321@email.com,0.46,"[{""id"":""uig91r"",""amount"":636.62,""datetime"":""2020-11-25T00:00:00.000Z"",""status"":""New""}]"
jzkeie,Dorelle Kerstin,DorelleKerstin96@email.com,1815.88,"[{""id"":""etqc1k"",""amount"":282.98,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
r2z6g4,Zahara Sibyl,ZaharaSibyl99@email.com,105.23,"[{""id"":""2zf9st"",""amount"":465.37,""datetime"":""2020-11-25T00:00:00.000Z"",""status"":""New""}]"
njf4ia,Elset Danell,ElsetDanell343@email.com,42.94,"[{""id"":""wewoaa"",""amount"":926.5,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
4f5pr0,Devan Analiese,DevanAnaliese406@email.com,0.17,"[{""id"":""61t9c5"",""amount"":749,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
sm7570,Laryssa Leticia,LaryssaLeticia391@email.com,697.24,"[{""id"":""8lxvkp"",""amount"":451.38,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
6vi6h4,Nananne Jacquenetta,NananneJacquenetta266@email.com,1741.08,"[{""id"":""bdzjrt"",""amount"":661.47,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
qz0d7a,Joann Raeann,JoannRaeann380@email.com,13410.76,"[{""id"":""zx4miu"",""amount"":476.6,""datetime"":""2020-11-30T00:00:00.000Z"",""status"":""New""}]"
ayz077,Chickie Jehanna,ChickieJehanna355@email.com,14.99,"[{""id"":""c4jcfx"",""amount"":1030.5,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
tm6i68,Storm Bryna,StormBryna295@email.com,1620.56,"[{""id"":""ypon7w"",""amount"":209.96,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
0p1ju4,Carey Bren,CareyBren408@email.com,800,"[{""id"":""kwboom"",""amount"":468.92,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
hgmym6,Jillie Hyacinthia,JillieHyacinthia287@email.com,85.57,"[{""id"":""sxc56s"",""amount"":772.38,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
4lpadl,Ilysa Kitty,IlysaKitty309@email.com,1251.68,"[{""id"":""he9pyr"",""amount"":516.86,""datetime"":""2020-11-30T00:00:00.000Z"",""status"":""New""}]"
mtim83,Eachelle Ardra,EachelleArdra173@email.com,-53.52,"[{""id"":""mepcd5"",""amount"":577.66,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
c5xriw,Jeanelle Thelma,JeanelleThelma272@email.com,125.53,"[{""id"":""6j0h89"",""amount"":653.06,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
vozeyd,Maighdiln Jessika,MaighdilnJessika139@email.com,168.67,"[{""id"":""q0484l"",""amount"":891,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
9m3llx,Frank Laureen,FrankLaureen156@email.com,2321.62,"[{""id"":""rtp0js"",""amount"":464.63,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
6xypvp,Shandee Olive,ShandeeOlive168@email.com,93.43,"[{""id"":""ry2atq"",""amount"":750.42,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
cqoegf,Cody Alix,CodyAlix154@email.com,1279.13,"[{""id"":""ywnvt0"",""amount"":526.17,""datetime"":""2020-11-25T00:00:00.000Z"",""status"":""New""}]"
9nu3h6,Celie Leshia,CelieLeshia215@email.com,226.68,"[{""id"":""buxyv1"",""amount"":609.36,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
hvef5m,Ardine Annecorinne,ArdineAnnecorinne259@email.com,988.63,"[{""id"":""0use72"",""amount"":700.74,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
xvuqfa,Vittoria Maddie,VittoriaMaddie253@email.com,20.4,"[{""id"":""09qn18"",""amount"":465.27,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
4g0fcu,Valeda Nadean,ValedaNadean351@email.com,0,"[{""id"":""q81fe8"",""amount"":350.56,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
